DATE	TIME	MAGNITUDE	DELTA	LAMBDA	BX_GSM	BY_GSM	BZ_GSM	X_GSM	Y_GSM	Z_GSM
dd-mm-yyyy	hh:mm:ss.mil.mic	nT	degrees	degrees	nT	nT	nT	km	km	km
8/11/2012	14:00:00.014.262	158.866	80.3515	223.167	-19.4203	-18.2158	156.619	6719.57	-34906.6	-311.096
8/11/2012	14:00:00.029.887	158.885	80.285	223.215	-19.5398	-18.3589	156.606	6719.6	-34906.6	-311.095
8/11/2012	14:00:00.045.512	158.948	80.1195	222.661	-20.057	-18.4825	156.59	6719.62	-34906.6	-311.094
8/11/2012	14:00:00.061.137	159.011	80.3179	222.358	-19.7616	-18.0182	156.746	6719.65	-34906.6	-311.093
8/11/2012	14:00:00.076.762	158.837	80.3302	222.826	-19.5675	-18.1362	156.58	6719.68	-34906.6	-311.091
8/11/2012	14:00:00.092.387	159.014	80.3052	223.354	-19.471	-18.3833	156.743	6719.71	-34906.6	-311.09
8/11/2012	14:00:00.108.012	158.999	80.226	223.069	-19.7185	-18.4322	156.691	6719.73	-34906.5	-311.089
8/11/2012	14:00:00.123.637	159.055	80.1786	222.017	-20.1572	-18.1603	156.724	6719.76	-34906.5	-311.088
8/11/2012	14:00:00.139.262	158.909	80.3855	222.247	-19.6468	-17.8442	156.677	6719.79	-34906.5	-311.086
8/11/2012	14:00:00.154.887	158.833	80.3708	223.342	-19.3223	-18.2349	156.595	6719.81	-34906.5	-311.085
8/11/2012	14:00:00.170.512	159.075	80.2061	223.114	-19.7532	-18.4937	156.756	6719.84	-34906.5	-311.084
8/11/2012	14:00:00.186.137	159.129	80.2195	222.493	-19.9324	-18.2601	156.817	6719.86	-34906.4	-311.083
8/11/2012	14:00:00.201.762	159.031	80.2897	222.429	-19.7986	-18.0968	156.753	6719.89	-34906.4	-311.082
8/11/2012	14:00:00.217.387	158.885	80.4252	222.796	-19.3925	-17.955	156.672	6719.92	-34906.4	-311.08
8/11/2012	14:00:00.233.012	159.023	80.3496	223.305	-19.3993	-18.2841	156.773	6719.94	-34906.4	-311.079
8/11/2012	14:00:00.248.637	159.073	80.1916	222.699	-19.9156	-18.3769	156.747	6719.97	-34906.4	-311.078
8/11/2012	14:00:00.264.262	159.037	80.2205	222.006	-20.0732	-18.0775	156.726	6720	-34906.4	-311.077
8/11/2012	14:00:00.279.887	159.154	80.4045	222.72	-19.4908	-17.9982	156.927	6720.02	-34906.3	-311.075
8/11/2012	14:00:00.295.512	158.967	80.3725	223.561	-19.2652	-18.321	156.728	6720.05	-34906.3	-311.074
8/11/2012	14:00:00.311.137	159.087	80.2468	223.102	-19.6772	-18.415	156.788	6720.08	-34906.3	-311.073
